Date @20:00:00 UTC+1,Sale Type,Store Sales,Concept Sale,Game Milestones,Comments,,,,,,,
2017-10-29,CITIZENCON 3,,,,,,,,,,,
2017-10-30,CITIZENCON 4,,,,,,,,,,,
2017-10-31,CITIZENCON 5,,,,1.9 million Citizens passed at 13:00 UTC+1,,,,,,,
2017-11-01,CITIZENCON 6,,,,"Total in October: $3,251,843",,,,,,,
2017-11-02,,,,,,,,,,,,
2017-11-03,,,,,,,,,,,,
2017-11-04,,,,,,,,,,,,
2017-11-05,,,,,,,,,,,,
2017-11-06,,Consolidated Outland Pioneer sale ended,,,,,,,,,,
2017-11-07,,,,,$164 million passed at 04:53 UTC+1,,,,,,,
2017-11-08,,,,,,,,,,,,
2017-11-09,,,,,,,,,,,,
2017-11-10,,,,,,,,,,,,
2017-11-11,,,,,,,,,,,,
2017-11-12,,,,,,,,,,,,
2017-11-13,,,,,,,,,,,,
2017-11-14,,,,,,,,,,,,
2017-11-15,,,,,,,,,,,,
2017-11-16,,,,,,,,,,,,
2017-11-17,,,,,,,,,,,,
2017-11-18,,,,,,,,,,,,
2017-11-19,,,,,,,,,,,,
2017-11-20,,,,,,,,,,,,
2017-11-21,,,,,,,,,,,,
2017-11-22,,,,,,,,,,,,
2017-11-23,,,,,,,,,,,,
2017-11-24,ANNIVERSARY 1,Anniversay Sale started. ANVIL Hawk conept sale started.,,,,,,,,,,
2017-11-25,ANNIVERSARY 2,AEGIS ship sale started. AEGIS Hammerhead concept sale started. Idris-P and Javelin sold in limited quantities.,,,,,,,,,,
2017-11-26,ANNIVERSARY 3,"Vehicles and Alien Ships sale started. Fourth largest one day total, fifth being 2016-11-27 with $1,537,145.",,,,,,,,,,
2017-11-27,ANNIVERSARY 4,ORIGIN ships sale started. 890 Jump sold in limited quanities.,,,,,,,,,,
2017-11-28,ANNIVERSARY 5,Consolidated Outland ships and UEE Land Claim Licenses sale started.,,,,,,,,,,
2017-11-29,ANNIVERSARY 6,RSI ships sale started. Constellation Phoenix sold in limited quantities.,,,,,,,,,,
2017-11-30,ANNIVERSARY 7,MISC ships sale started.,,,,,,,,,,
2017-12-01,ANNIVERSARY 8,Drake and Discount Starters sales started.,,,$170 million passed at 21:21 UTC+1.,,,,,,,
2017-12-02,ANNIVERSARY 9,,,,,,,,,,,
2017-12-03,ANNIVERSARY 10,,,,,,,,,,,
2017-12-04,ANNIVERSARY 11,,,,,,,,,,,
2017-12-05,,,,,,,,,,,,
2017-12-06,,,,,,,,,,,,
2017-12-07,,,,,,,,,,,,
2017-12-08,,,,,,,,,,,,
2017-12-09,,,,,,,,,,,,
2017-12-10,,,,,,,,,,,,
2017-12-11,,ANVIL Hawk and AEGIS Hammerhead concept sales end.,,,,,,,,,,
2017-12-12,,,,,,,,,,,,
2017-12-13,,,,,,,,,,,,
2017-12-14,,,,,,,,,,,,
2017-12-15,,,,,,,,,,,,
2017-12-16,,,,,,,,,,,,
2017-12-17,,,,,,,,,,,,
2017-12-18,,,,,,,,,,,,
2017-12-19,,,,,,,,,,,,
2017-12-20,,,,,,,,,,,,
2017-12-21,,,,,,,,,,,,
2017-12-22,,,,,,,,,,,,
2017-12-23,,,,,,,,,,,,
2017-12-24,,,,,,,,,,,,
2017-12-25,,,,,,,,,,,,
2017-12-26,,,,,,,,,,,,
2017-12-27,,,,,,,,,,,,
2017-12-28,,,,,,,,,,,,
2017-12-29,,,,,,,,,,,,
2017-12-30,,,,,,,,,,,,
2017-12-31,,,,,,,,,,,,
2018-01-01,,,,,,,,,,,,
2018-01-02,,,,,,,,,,,,
2018-01-03,,,,,,,,,,,,
2018-01-04,,,,,,,,,,,,
2018-01-05,,,,,,,,,,,,
2018-01-06,,,,,,,,,,,,
2018-01-07,,,,,,,,,,,,
2018-01-08,,,,,,,,,,,,
2018-01-09,,,,,,,,,,,,
2018-01-10,,,,,,,,,,,,
2018-01-11,,,,,,,,,,,,
2018-01-12,,,,,,,,,,,,
2018-01-13,,,,,,,,,,,,
2018-01-14,,,,,,,,,,,,
2018-01-15,,,,,,,,,,,,
2018-01-16,,,,,,,,,,,,
2018-01-17,,,,,,,,,,,,
2018-01-18,,,,,,,,,,,,
2018-01-19,,,,,,,,,,,,
2018-01-20,,,,,,,,,,,,
2018-01-21,,,,,,,,,,,,
2018-01-22,,,,,,,,,,,,
2018-01-23,,,,,,,,,,,,
2018-01-24,,,,,,,,,,,,
2018-01-25,,,,,,,,,,,,
2018-01-26,,,,,,,,,,,,
2018-01-27,,,,,,,,,,,,
2018-01-28,,,,,,,,,,,,
2018-01-29,,,,,,,,,,,,
2018-01-30,,,,,,,,,,,,
2018-01-31,,,,,,,,,,,,
2018-02-01,,,,,,,,,,,,
2018-02-02,,,,,,,,,,,,
2018-02-03,,,,,,,,,,,,
2018-02-04,,,,,,,,,,,,
2018-02-05,,,,,,,,,,,,
2018-02-06,,,,,,,,,,,,
2018-02-07,,,,,,,,,,,,
2018-02-08,,,,,,,,,,,,
2018-02-09,,,,,,,,,,,,
2018-02-10,,,,,,,,,,,,
2018-02-11,,,,,,,,,,,,
2018-02-12,,,,,,,,,,,,
2018-02-13,,,,,,,,,,,,
2018-02-14,,,,,,,,,,,,
2018-02-15,,,,,,,,,,,,
2018-02-16,,,,,,,,,,,,
2018-02-17,,,,,,,,,,,,
2018-02-18,,,,,,,,,,,,
2018-02-19,,,,,,,,,,,,
2018-02-20,,,,,,,,,,,,
2018-02-21,,,,,,,,,,,,
2018-02-22,,AEGIS Vulcan concept sale started,,,,,,,,,,
2018-02-23,,,,,,,,,,,,
2018-02-24,,,,,,,,,,,,
2018-02-25,,,,,,,,,,,,
2018-02-26,,,,,,,,,,,,
2018-02-27,,,,,,,,,,,,
2018-02-28,,,,,,,,,,,,
2018-03-01,,,,,,,,,,,,
2018-03-02,,,,,,,,,,,,
2018-03-03,,,,,,,,,,,,
2018-03-04,,,,,,,,,,,,
2018-03-05,,,,,,,,,,,,
2018-03-06,,,,,,,,,,,,
2018-03-07,,,,,,,,,,,,
2018-03-08,,,,,,,,,,,,
2018-03-09,,,,,,,,,,,,
2018-03-10,,,,,,,,,,,,
2018-03-11,,,,,,,,,,,,
2018-03-12,,,,,,,,,,,,
2018-03-13,,,,,,,,,,,,
2018-03-14,,,,,,,,,,,,
2018-03-15,,,,,,,,,,,,
2018-03-16,,,,,,,,,,,,
2018-03-17,,,,,,,,,,,,
2018-03-18,,,,,,,,,,,,
2018-03-19,,,,,,,,,,,,
2018-03-20,,,,,,,,,,,,
2018-03-21,,,,,,,,,,,,
2018-03-22,,,,,,,,,,,,
2018-03-23,,,,,,,,,,,,
2018-03-24,,,,,,,,,,,,
2018-03-25,,,,,,,,,,,,
2018-03-26,,,,,,,,,,,,
2018-03-27,,,,,,,,,,,,
2018-03-28,,,,,,,,,,,,
2018-03-29,,,,,,,,,,,,
2018-03-30,,,,,,,,,,,,
2018-03-31,,,,,,,,,,,,
2018-04-01,,,,,,,,,,,,
2018-04-02,,,,,,,,,,,,
2018-04-03,,,,,,,,,,,,
2018-04-04,,,,,,,,,,,,
2018-04-05,,,,,,,,,,,,
2018-04-06,,,,,,,,,,,,
2018-04-07,,,,,,,,,,,,
2018-04-08,,,,,,,,,,,,
2018-04-09,,,,,,,,,,,,
2018-04-10,,,,,,,,,,,,
2018-04-11,,,,,,,,,,,,
2018-04-12,,,,,,,,,,,,
2018-04-13,,Concept Sale Origin Jumpworks 100 series,,,,,,,,,,
2018-04-14,,,,,,,,,,,,
2018-04-15,,,,,,,,,,,,
2018-04-16,,,,,,,,,,,,
2018-04-17,,,,,,,,,,,,
2018-04-18,,,,,,,,,,,,
2018-04-19,,,,,,,,,,,,
2018-04-20,,,,,,,,,,,,
2018-04-21,,,,,,,,,,,,
2018-04-22,,,,,,,,,,,,
2018-04-23,,,,,,,,,,,,
2018-04-24,,,,,,,,,,,,
2018-04-25,,,,,,,,,,,,
2018-04-26,,,,,,,,,,,,
2018-04-27,,,,,,,,,,,,
2018-04-28,,,,,,,,,,,,
2018-04-29,,,,,,,,,,,,
2018-04-30,,,,,,,,,,,,
2018-05-01,,,,,,,,,,,,
2018-05-02,,,,,,,,,,,,
2018-05-03,,,,,,,,,,,,
2018-05-04,,,,,,,,,,,,
2018-05-05,,Concept Sale Crusader Industries Hercules Starlifter,,,,,,,,,,
2018-05-06,,,,,,,,,,,,
2018-05-07,,,,,,,,,,,,
2018-05-08,,,,,,,,,,,,
2018-05-09,,,,,,,,,,,,
2018-05-10,,,,,,,,,,,,
2018-05-11,,,,,,,,,,,,
2018-05-12,,,,,,,,,,,,
2018-05-13,,,,,,,,,,,,
2018-05-14,,,,,,,,,,,,
2018-05-15,,,,,,,,,,,,
2018-05-16,,,,,,,,,,,,
2018-05-17,,,,,,,,,,,,
2018-05-18,,,,,,,,,,,,
2018-05-19,,,,,,,,,,,,
2018-05-20,,,,,,,,,,,,
2018-05-21,,,,,,,,,,,,
2018-05-22,,,,,,,,,,,,
2018-05-23,,,,,,,,,,,,
2018-05-24,,,,,,,,,,,,
2018-05-25,,,,,,,,,,,,
2018-05-26,,,,,,,,,,,,
2018-05-27,,,,,,,,,,,,
2018-05-28,,,,,,,,,,,,
2018-05-29,,,,,,,,,,,,
2018-05-30,,,,,,,,,,,,
2018-05-31,,,,,,,,,,,,
2018-06-01,,,,,,,,,,,,
2018-06-02,,,,,,,,,,,,
2018-06-03,,,,,,,,,,,,
2018-06-04,,,,,,,,,,,,
2018-06-05,,,,,,,,,,,,
2018-06-06,,,,,,,,,,,,
2018-06-07,,,,,,,,,,,,
2018-06-08,,,,,,,,,,,,
2018-06-09,,,,,,,,,,,,
2018-06-10,,,,,,,,,,,,
2018-06-11,,,,,,,,,,,,
2018-06-12,,,,,,,,,,,,
2018-06-13,,,,,,,,,,,,
2018-06-14,,,,,,,,,,,,
2018-06-15,,,,,,,,,,,,
2018-06-16,,,,,,,,,,,,
2018-06-17,,,,,,,,,,,,
2018-06-18,,,,,,,,,,,,
2018-06-19,,,,,,,,,,,,
2018-06-20,,,,,,,,,,,,
2018-06-21,,,,,,,,,,,,
2018-06-22,,,,,,,,,,,,
2018-06-23,,,,,,,,,,,,
2018-06-24,,,,,,,,,,,,
2018-06-25,,,,,,,,,,,,
2018-06-26,,,,,,,,,,,,
2018-06-27,,,,,,,,,,,,
2018-06-28,,,,,,,,,,,,
2018-06-29,,,,,,,,,,,,
2018-06-30,,,,,,,,,,,,
2018-07-01,,,,,,,,,,,,
2018-07-02,,,,,,,,,,,,
2018-07-03,,,,,,,,,,,,
2018-07-04,,,,,,,,,,,,
2018-07-05,,,,,,,,,,,,
2018-07-06,,,,,,,,,,,,
2018-07-07,,,,,,,,,,,,
2018-07-08,,,,,,,,,,,,
2018-07-09,,,,,,,,,,,,
2018-07-10,,,,,,,,,,,,
2018-07-11,,,,,,,,,,,,
2018-07-12,,,,,,,,,,,,
2018-07-13,,,,,,,,,,,,
2018-07-14,,,,,,,,,,,,
2018-07-15,,,,,,,,,,,,
2018-07-16,,,,,,,,,,,,
2018-07-17,,,,,,,,,,,,
2018-07-18,,,,,,,,,,,,
2018-07-19,,,,,,,,,,,,
2018-07-20,,Concept Sale Roberts Space Industries Apollo,,,,,,,,,,
2018-07-21,,,,,,,,,,,,
2018-07-22,,,,,,,,,,,,
2018-07-23,,,,,,,,,,,,
2018-07-24,,,,,,,,,,,,
2018-07-25,,,,,,,,,,,,
2018-07-26,,,,,,,,,,,,
2018-07-27,,,,,,,,,,,,
2018-07-28,,,,,,,,,,,,
2018-07-29,,,,,,,,,,,,
2018-07-30,,,,,,,,,,,,
2018-07-31,,,,,,,,,,,,
2018-08-01,,,,,,,,,,,,
2018-08-02,,,,,,,,,,,,
2018-08-03,,,,,,,,,,,,
2018-08-04,,,,,,,,,,,,
2018-08-05,,,,,,,,,,,,
2018-08-06,,,,,,,,,,,,
2018-08-07,,,,,,,,,,,,
2018-08-08,,,,,,,,,,,,
2018-08-09,,,,,,,,,,,,
2018-08-10,,,,,,,,,,,,
2018-08-11,,,,,,,,,,,,
2018-08-12,,,,,,,,,,,,
2018-08-13,,,,,,,,,,,,
2018-08-14,,,,,,,,,,,,
2018-08-15,,,,,,,,,,,,
2018-08-16,,,,,,,,,,,,
2018-08-17,,,,,,,,,,,,
2018-08-18,,,,,,,,,,,,
2018-08-19,,,,,,,,,,,,
2018-08-20,,,,,,,,,,,,
2018-08-21,,,,,,,,,,,,
2018-08-22,,,,,,,,,,,,
2018-08-23,,,,,,,,,,,,
2018-08-24,,Concept Sale Crusader Industries Mercury,,,,,,,,,,
2018-08-25,,,,,,,,,,,,
2018-08-26,,,,,,,,,,,,
2018-08-27,,,,,,,,,,,,
2018-08-28,,,,,,,,,,,,
2018-08-29,,,,,,,,,,,,
2018-08-30,,,,,,,,,,,,
2018-08-31,,,,,,,,,,,,
2018-09-01,,,,,,,,,,,,
2018-09-02,,,,,,,,,,,,
2018-09-03,,,,,,,,,,,,
2018-09-04,,,,,,,,,,,,
2018-09-05,,,,,,,,,,,,
2018-09-06,,,,,,,,,,,,
2018-09-07,,,,,,,,,,,,
2018-09-08,,,,,,,,,,,,
2018-09-09,,,,,,,,,,,,
2018-09-10,,,,,,,,,,,,
2018-09-11,,,,,,,,,,,,
2018-09-12,,,,,,,,,,,,
2018-09-13,,,,,,,,,,,,
2018-09-14,,,,,,,,,,,,
2018-09-15,,,,,,,,,,,,
2018-09-16,,,,,,,,,,,,
2018-09-17,,,,,,,,,,,,
2018-09-18,,,,,,,,,,,,
2018-09-19,,,,,,,,,,,,
2018-09-20,,,,,,,,,,,,
2018-09-21,,,,,,,,,,,,
2018-09-22,,,,,,,,,,,,
2018-09-23,,,,,,,,,,,,
2018-09-24,,,,,,,,,,,,
2018-09-25,,,,,,,,,,,,
2018-09-26,,,,,,,,,,,,
2018-09-27,,,,,,,,,,,,
2018-09-28,,,,,,,,,,,,
2018-09-29,,,,,,,,,,,,
2018-09-30,,,,,,,,,,,,
2018-10-01,,,,,,,,,,,,
2018-10-02,,,,,,,,,,,,
2018-10-03,,,,,,,,,,,,
2018-10-04,,,,,,,,,,,,
2018-10-05,,,,,,,,,,,,
2018-10-06,,,,,,,,,,,,
2018-10-07,,,,,,,,,,,,
2018-10-08,,,,,,,,,,,,
2018-10-09,,,,,,,,,,,,
2018-10-10,CITIZENCON 1,,,,CitizenCon 2948,,,,,,,
2018-10-11,CITIZENCON 2,Concept (direct-to-flight-ready) sale ANVIL Valkyrie; #limited 2948 Liberator Edition,,,,,,,,,,
2018-10-12,CITIZENCON 3,,,,,,,,,,,
2018-10-13,CITIZENCON 4,,,,,,,,,,,
2018-10-14,CITIZENCON 5,,,,,,,,,,,
2018-10-15,CITIZENCON 6,,,,,,,,,,,
2018-10-16,,,,,,,,,,,,
2018-10-17,,,,,,,,,,,,
2018-10-18,,,,,,,,,,,,
2018-10-19,,,,,,,,,,,,
2018-10-20,,"Concept Sale DRAKE Kraken (sold in waves, limited quantity)",,,,,,,,,,
2018-10-21,,,,,,,,,,,,
2018-10-22,,,,,,,,,,,,
2018-10-23,,,,,,,,,,,,
2018-10-24,,,,,,,,,,,,
2018-10-25,,,,,,,,,,,,
2018-10-26,,,,,,,,,,,,
2018-10-27,,,,,,,,,,,,
2018-10-28,,,,,,,,,,,,
2018-10-29,,,,,,,,,,,,
2018-10-30,,,,,,,,,,,,
2018-10-31,,,,,,,,,,,,
2018-11-01,,,,,,,,,,,,
2018-11-02,,,,,,,,,,,,
2018-11-03,,,,,,,,,,,,
2018-11-04,,,,,,,,,,,,
2018-11-05,,,,,,,,,,,,
2018-11-06,,,,,,,,,,,,
2018-11-07,,,,,,,,,,,,
2018-11-08,,,,,,,,,,,,
2018-11-09,,,,,,,,,,,,
2018-11-10,,,,,,,,,,,,
2018-11-11,,,,,,,,,,,,
2018-11-12,,,,,,,,,,,,
2018-11-13,,,,,,,,,,,,
2018-11-14,,,,,,,,,,,,
2018-11-15,,,,,,,,,,,,
2018-11-16,,,,,,,,,,,,
2018-11-17,,,,Letter from the Chairman,,,,,,,,
2018-11-18,,,,,,,,,,,,
2018-11-19,,,,,,,,,,,,
2018-11-20,,,,,,,,,,,,
2018-11-21,,,,,,,,,,,,
2018-11-22,,,,,UEE Fleet number ceases reporting on Nov 23.,,,,,,,
2018-11-23,ANNIVERSARY 1,Anniversay Sale 2948 started ANVIL Arrow flight-ready sale started (direct-to-flight-ready) ;,,,free-flight-week started.,,,,,,,
2018-11-24,ANNIVERSARY 2,RSI ships sale started. Constellation Phoenix sold in limited quantities.,,,,,,,,,,
2018-11-25,ANNIVERSARY 3,ORIGIN ships sale started. 890 Jump sold in limited quanities.,,,,,,,,,,
2018-11-26,ANNIVERSARY 4,"AEGIS ship sale started. Idris-P and Javelin sold in limited quantities. Idris Aftermarket Upgrade Kit ""Idris-K"" sold in limited quantities.",,,,,,,,,,
2018-11-27,ANNIVERSARY 5,DRAKE ship sale started. Kraken sold in limited quantities.,,,,,,,,,,
2018-11-28,ANNIVERSARY 6,EXOTICS AND IMPORTS ship sale started. Glaive (Warbond) sold in limited quantity. Aopoa San’tok.yāi concept sale started.,,,,,,,,,,
2018-11-29,ANNIVERSARY 7,MISC ship sale started; Hull-E sold in limited quantities.,,,,,,,,,,
2018-11-30,ANNIVERSARY 8,"MANUFACTURERS SPOTLIGHT sale started (Consolidated Outland, Tumbril Land Systems, Crusader Industries, Kruger Intergalactic and Argo Astronautics).
Limited quantities: COO Pioneer and A2 Hercules. Discounted Gamepackages available until 2018/12/4",,,free-flight-week ended.,,,,,,,
2018-12-01,ANNIVERSARY 9,,,,,,,,,,,
2018-12-02,ANNIVERSARY 10,,,,,,,,,,,
2018-12-03,ANNIVERSARY 11,,,,,,,,,,,
2018-12-04,ANNIVERSARY 12,Anniversay Sale 2948 ended,,,,,,,,,,
2018-12-05,,,,,,,,,,,,
2018-12-06,,,,,,,,,,,,
2018-12-07,,,,,,,,,,,,
2018-12-08,,,,,,,,,,,,
2018-12-09,,,,,,,,,,,,
2018-12-10,,,,,,,,,,,,
2018-12-11,,,,,,,,,,,,
2018-12-12,,,,,,,,,,,,
2018-12-13,,,,,,,,,,,,
2018-12-14,,,,,,,,,,,,
2018-12-15,,,,,,,,,,,,
2018-12-16,,,,,,,,,,,,
2018-12-17,,,,,,,,,,,,
2018-12-18,,,,,,,,,,,,
2018-12-19,,,,,,,,,,,,
2018-12-20,,,,,,,,,,,,
2018-12-21,,,,,3.4.0 and 3.4.1 released on same day,,,,,,,
2018-12-22,,,,,,,,,,,,
2018-12-23,,,,,,,,,,,,
2018-12-24,,,,,,,,,,,,
2018-12-25,,,,,,,,,,,,
2018-12-26,,,,,,,,,,,,
2018-12-27,,,,,,,,,,,,
2018-12-28,,,,,,,,,,,,
2018-12-29,,,,,,,,,,,,
2018-12-30,,,,,,,,,,,,
2018-12-31,,,,,,,,,,,,
2019-01-01,,,,,,,,,,,,
2019-01-02,,,,,,,,,,,,
2019-01-03,,,,,,,,,,,,
2019-01-04,,,,,,,,,,,,
2019-01-05,,,,,,,,,,,,
2019-01-06,,,,,,,,,,,,
2019-01-07,,,,,,,,,,,,
2019-01-08,,,,,,,,,,,,
2019-01-09,,,,,,,,,,,,
2019-01-10,,,,,,,,,,,,
2019-01-11,,,,,,,,,,,,
2019-01-12,,,,,,,,,,,,
2019-01-13,,,,,,,,,,,,
2019-01-14,,,,,,,,,,,,
2019-01-15,,,,,,,,,,,,
2019-01-16,,,,,,,,,,,,
2019-01-17,,,,,,,,,,,,
2019-01-18,,,,,,,,,,,,
2019-01-19,,,,,,,,,,,,
2019-01-20,,,,,,,,,,,,
2019-01-21,,,,,,,,,,,,
2019-01-22,,,,,,,,,,,,
2019-01-23,,,,,,,,,,,,
2019-01-24,,,,,,,,,,,,
2019-01-25,,,,,,,,,,,,
2019-01-26,,,,,,,,,,,,
2019-01-27,,,,,,,,,,,,
2019-01-28,,,,,,,,,,,,
2019-01-29,,,,,,,,,,,,
2019-01-30,,,,,,,,,,,,
2019-01-31,,,,,,,,,,,,
2019-02-01,,,,,,,,,,,,
2019-02-02,,,,,,,,,,,,
2019-02-03,,,,,,,,,,,,
2019-02-04,,,,,,,,,,,,
2019-02-05,,,,,,,,,,,,
2019-02-06,,,,,,,,,,,,
2019-02-07,,,,,,,,,,,,
2019-02-08,,,,,,,,,,,,
2019-02-09,,,,,,,,,,,,
2019-02-10,,,,,,,,,,,,
2019-02-11,,,,,,,,,,,,
2019-02-12,,,,,,,,,,,,
2019-02-13,,,,,,,,,,,,
2019-02-14,,,,,,,,,,,,
2019-02-15,,,,,,,,,,,,
2019-02-16,,,,,,,,,,,,
2019-02-17,,,,,,,,,,,,
2019-02-18,,,,,,,,,,,,
2019-02-19,,,,,,,,,,,,
2019-02-20,,,,,,,,,,,,
2019-02-21,,,,,,,,,,,,
2019-02-22,,,,,,,,,,,,
2019-02-23,,,,,,,,,,,,
2019-02-24,,,,,,,,,,,,
2019-02-25,,,,,,,,,,,,
2019-02-26,,,,,,,,,,,,
2019-02-27,,,,,,,,,,,,
2019-02-28,,,,,,,,,,,,
2019-03-01,,,,,,,,,,,,
2019-03-02,,,,,UEE Fleet value no longer tracked,,,,,,,
2019-03-03,,,,,,,,,,,,
2019-03-04,,,,,,,,,,,,
2019-03-05,,,,,,,,,,,,
2019-03-06,,,,,,,,,,,,
2019-03-07,,,,,,,,,,,,
2019-03-08,,,,,,,,,,,,
2019-03-09,,,,,,,,,,,,
2019-03-10,,,,,,,,,,,,
2019-03-11,,,,,,,,,,,,
2019-03-12,,,,,,,,,,,,
2019-03-13,,,,,,,,,,,,
2019-03-14,,,,,,,,,,,,
2019-03-15,FORTUNA 1,,,,,,,,,,,
2019-03-16,FORTUNA 2,,,,,,,,,,,
2019-03-17,FORTUNA 3,,,,,,,,,,,
2019-03-18,FORTUNA 4,,,,,,,,,,,
2019-03-19,FORTUNA 5,,,,,,,,,,,
2019-03-20,FORTUNA 6,,,,,,,,,,,
2019-03-21,FORTUNA 7,,,,,,,,,,,
2019-03-22,FORTUNA 8,,,,,,,,,,,
2019-03-23,FORTUNA 9,,,,,,,,,,,
2019-03-24,FORTUNA 10,,,,,,,,,,,
2019-03-25,FORTUNA 11,,,,guesd end date of furtuna,,,,,,,
2019-03-26,,,,,,,,,,,,
2019-03-27,,,,,,,,,,,,
2019-03-28,,,,,,,,,,,,
2019-03-29,,,,,,,,,,,,
2019-03-30,,,,,,,,,,,,
2019-03-31,,,,,,,,,,,,
2019-04-01,,,,,,,,,,,,
2019-04-02,,,,,,,,,,,,
2019-04-03,,,,,,,,,,,,
2019-04-04,,,,,,,,,,,,
2019-04-05,,,,,,,,,,,,
2019-04-06,,,,,,,,,,,,
2019-04-07,,,,,,,,,,,,
2019-04-08,,,,,,,,,,,,
2019-04-09,,,,,,,,,,,,
2019-04-10,,,,,,,,,,,,
2019-04-11,,,,,,,,,,,,
2019-04-12,,,,,,,,,,,,
2019-04-13,,,,,,,,,,,,
2019-04-14,,,,,,,,,,,,
2019-04-15,,,,,,,,,,,,
2019-04-16,,,,,,,,,,,,
2019-04-17,,,,,,,,,,,,
2019-04-18,,,,,,,,,,,,
2019-04-19,,,,,,,,,,,,
2019-04-20,,,,,,,,,,,,
2019-04-21,,,,,,,,,,,,
2019-04-22,,,,,,,,,,,,
2019-04-23,,,,,,,,,,,,
2019-04-24,,,,,,,,,,,,
2019-04-25,,,,,,,,,,,,
2019-04-26,,,,,,,,,,,,
2019-04-27,,,,,,,,,,,,
2019-04-28,,,,,,,,,,,,
2019-04-29,,,,,,,,,,,,
2019-04-30,,,,,,,,,,,,
2019-05-01,,,,,,,,,,,,
2019-05-02,,,,,,,,,,,,
2019-05-03,,,,,,,,,,,,
2019-05-04,,,,,,,,,,,,
2019-05-05,,,,,,,,,,,,
2019-05-06,,,,,,,,,,,,
2019-05-07,,,,,,,,,,,,
2019-05-08,,,,,,,,,,,,
2019-05-09,,,,,,,,,,,,
2019-05-10,,,,,,,,,,,,
2019-05-11,,,,,,,,,,,,
2019-05-12,,,,,,,,,,,,
2019-05-13,,,,,,,,,,,,
2019-05-14,,,,,,,,,,,,
2019-05-15,,,,,,,,,,,,
2019-05-16,,,,,,,,,,,,
2019-05-17,,,,,,,,,,,,
2019-05-18,,,,,,,,,,,,
2019-05-19,,,,,,,,,,,,
2019-05-20,,,,,,,,,,,,
2019-05-21,,,,,,,,,,,,
2019-05-22,,,,,,,,,,,,
2019-05-23,,,,,,,,,,,,
2019-05-24,,,,,,,,,,,,
2019-05-25,,,,,,,,,,,,
2019-05-26,,,,,,,,,,,,
2019-05-27,,,,,,,,,,,,
2019-05-28,,,,,,,,,,,,
2019-05-29,,,,,,,,,,,,
2019-05-30,,,,,,,,,,,,
2019-05-31,,,,,,,,,,,,
2019-06-01,,,,,,,,,,,,
2019-06-02,,,,,,,,,,,,
2019-06-03,,,,,,,,,,,,
2019-06-04,,,,,,,,,,,,
2019-06-05,,,,,,,,,,,,
2019-06-06,,,,,,,,,,,,
2019-06-07,,,,,,,,,,,,
2019-06-08,,,,,,,,,,,,
2019-06-09,,,,,,,,,,,,
2019-06-10,,,,,,,,,,,,
2019-06-11,,,,,,,,,,,,
2019-06-12,,,,,,,,,,,,
2019-06-13,,,,,,,,,,,,
2019-06-14,,,,,,,,,,,,
2019-06-15,,,,,,,,,,,,
2019-06-16,,,,,,,,,,,,
2019-06-17,,,,,,,,,,,,
2019-06-18,,,,,,,,,,,,
2019-06-19,,,,,,,,,,,,
2019-06-20,,,,,,,,,,,,
2019-06-21,,,,,,,,,,,,
2019-06-22,,,,,,,,,,,,
2019-06-23,,,,,,,,,,,,
2019-06-24,,,,,,,,,,,,
2019-06-25,,,,,,,,,,,,
2019-06-26,,,,,,,,,,,,
2019-06-27,,,,,,,,,,,,
2019-06-28,,,,,,,,,,,,
2019-06-29,,,,,,,,,,,,
2019-06-30,,,,,,,,,,,,
2019-07-01,,,,,,,,,,,,
2019-07-02,,,,,,,,,,,,
2019-07-03,,,,,,,,,,,,
2019-07-04,,,,,,,,,,,,
2019-07-05,,,,,,,,,,,,
2019-07-06,,,,,,,,,,,,
2019-07-07,,,,,,,,,,,,
2019-07-08,,,,,,,,,,,,
2019-07-09,,,,,,,,,,,,
2019-07-10,,,,,,,,,,,,
2019-07-11,,,,,,,,,,,,
2019-07-12,,,,,,,,,,,,
2019-07-13,,,,,,,,,,,,
2019-07-14,,,,,,,,,,,,
2019-07-15,,,,,,,,,,,,
2019-07-16,,,,,,,,,,,,
2019-07-17,,,,,,,,,,,,
2019-07-18,,,,,,,,,,,,
2019-07-19,,,,,,,,,,,,
2019-07-20,,,,,,,,,,,,
2019-07-21,,,,,,,,,,,,
2019-07-22,,,,,,,,,,,,
2019-07-23,,,,,,,,,,,,
2019-07-24,,,,,,,,,,,,
2019-07-25,,,,,,,,,,,,
2019-07-26,,,,,,,,,,,,
2019-07-27,,,,,,,,,,,,
2019-07-28,,,,,,,,,,,,
2019-07-29,,,,,,,,,,,,
2019-07-30,,,,,,,,,,,,
2019-07-31,,,,,,,,,,,,
2019-08-01,,,,,,,,,,,,
2019-08-02,,,,,,,,,,,,
2019-08-03,,,,,,,,,,,,
2019-08-04,,,,,,,,,,,,
2019-08-05,,,,,,,,,,,,
2019-08-06,,,,,,,,,,,,
2019-08-07,,,,,,,,,,,,
2019-08-08,,,,,,,,,,,,
2019-08-09,,,,,,,,,,,,
2019-08-10,,,,,,,,,,,,
2019-08-11,,,,,,,,,,,,
2019-08-12,,,,,,,,,,,,
2019-08-13,,,,,,,,,,,,
2019-08-14,,,,,,,,,,,,
2019-08-15,,,,,,,,,,,,
2019-08-16,,,,,,,,,,,,
2019-08-17,,,,,,,,,,,,
2019-08-18,,,,,,,,,,,,
